Designator,Value,Footprint,Mid X,Mid Y,Layer,Rotation
C1,100n,C_0402_1005Metric,72.775000,-43.400000,top,0.000000
C11,1u,C_0603_1608Metric,78.950000,-74.062500,top,-90.000000
C12,1u,C_0603_1608Metric,81.550000,-77.062500,top,180.000000
C21,4u7,C_0603_1608Metric,63.750000,-74.700000,top,-90.000000
C22,2u2,C_0603_1608Metric,67.500000,-72.200000,top,90.000000
C23,1u,C_0603_1608Metric,64.500000,-69.050000,top,0.000000
C24,4u7,C_0603_1608Metric,65.750000,-74.700000,top,-90.000000
C31,1u,C_0603_1608Metric,79.540000,-58.440500,top,0.000000
C32,100n,C_0402_1005Metric,80.240000,-60.340500,top,90.000000
C33,100n,C_0402_1005Metric,81.340000,-61.040500,top,90.000000
C34,1u,C_0603_1608Metric,81.140000,-63.640500,top,-90.000000
C41,1u,C_0603_1608Metric,77.200000,-101.600000,top,180.000000
C42,1u,C_0603_1608Metric,77.200000,-94.400000,top,180.000000
C51,100n,C_0402_1005Metric,74.100000,-89.300000,top,0.000000
C52,4u7,C_0603_1608Metric,74.700000,-87.900000,top,0.000000
C53,100n,C_0402_1005Metric,72.025000,-89.305000,top,180.000000
C54,4u7,C_0603_1608Metric,71.400000,-87.905000,top,180.000000
C61,100n,C_0402_1005Metric,71.100000,-106.800000,top,180.000000
C62,4u7,C_0603_1608Metric,70.500000,-108.200000,top,180.000000
C63,100n,C_0402_1005Metric,73.200000,-106.800000,top,0.000000
C64,4u7,C_0603_1608Metric,73.800000,-108.200000,top,0.000000
D1,SMF05CT1G,SOT-363_SC-70-6,76.500000,-45.200000,top,90.000000
D51,D_TVS,D_0402_1005Metric,59.500000,-113.000000,top,0.000000
D61,D_TVS,D_0402_1005Metric,80.400000,-112.900000,top,180.000000
FB11,600R,L_0805_2012Metric,77.200000,-72.200000,top,-90.000000
FB21,600R,L_0805_2012Metric,60.700000,-72.975000,top,-90.000000
FB31,600R,L_0805_2012Metric,76.140000,-57.140500,top,0.000000
FB41,100R,L_0805_2012Metric,83.000000,-96.000000,top,-90.000000
FB42,100R,L_0805_2012Metric,82.600000,-82.900000,top,90.000000
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,75.875000,-39.700000,top,180.000000
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Horizontal,66.375000,-59.800000,top,180.000000
J41,RCB_F9T,RCB_F9T,70.000000,-70.000000,top,90.000000
J51,Conn_Coaxial,SMA_Rosenberger_32K145-400L5_EdgeMount_Horizontal,60.000000,-120.000000,top,90.000000
J61,Conn_Coaxial,SMA_Rosenberger_32K145-400L5_EdgeMount_Horizontal,80.000000,-120.000000,top,90.000000
R1,1M,R_0402_1005Metric,72.775000,-44.600000,top,0.000000
R21,1M,R_0402_1005Metric,67.400000,-69.000000,top,180.000000
R22,330k,R_0402_1005Metric,67.400000,-70.100000,top,0.000000
R31,4k7,R_0402_1005Metric,76.850000,-58.740500,top,0.000000
R41,4k7,R_0402_1005Metric,77.200000,-92.600000,top,0.000000
R51,49.9,R_0805_2012Metric,66.100000,-91.050000,top,180.000000
R61,49.9,R_0805_2012Metric,79.100000,-104.950000,top,0.000000
U11,XC6206PxxxMR,SOT-23,81.550000,-74.062500,top,90.000000
U21,LM27761,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,65.000000,-71.500000,top,90.000000
U31,CP2102-GMR-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,76.450000,-62.550500,top,180.000000
U51,BUF602xDBV,SOT-23-5,72.500000,-92.000000,top,0.000000
U61,BUF602xDBV,SOT-23-5,72.700000,-104.000000,top,180.000000
